"Path","RelativePath","Size","Width","Height","DHash"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\UB-13001.jpg","2013-taipei\UB-13001.jpg","1018158","1181","936","c1da1ecefcc1fe00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\A-01副本.jpg","2013-taipei\JPE\A-01副本.jpg","859483","1181","855","6e6a4c68f0d3da00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AA-01副本.jpg","2013-taipei\JPE\AA-01副本.jpg","433660","1181","808","3b3363ee4cecec7a"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AA-02副本.jpg","2013-taipei\JPE\AA-02副本.jpg","433833","1181","840","dfdfdfd9fdfbfb7a"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AA-03副本.jpg","2013-taipei\JPE\AA-03副本.jpg","553594","1181","1181","38eccc54dcccccfe"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AA-04副本.jpg","2013-taipei\JPE\AA-04副本.jpg","355061","1181","823","f0deeeeafbf3f3de"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AB-01副本.jpg","2013-taipei\JPE\AB-01副本.jpg","289347","1181","945","00ecccd4cdeccc44"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AB-02副本.jpg","2013-taipei\JPE\AB-02副本.jpg","313427","1181","935","c8c8dc9993d3721a"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AC-01副本.jpg","2013-taipei\JPE\AC-01副本.jpg","258442","1181","778","1830f0701898d0c0"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AC-02副本.jpg","2013-taipei\JPE\AC-02副本.jpg","341778","1181","1181","1878d1f979c2f400"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\AC-03副本.jpg","2013-taipei\JPE\AC-03副本.jpg","287962","1181","1023","c6e6783c34363434"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\B-01副本.jpg","2013-taipei\JPE\B-01副本.jpg","889100","1181","1383","3879c3794aecf800"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\B-02副本.jpg","2013-taipei\JPE\B-02副本.jpg","748651","954","713","cce870786c6c662c"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\C-01副本.jpg","2013-taipei\JPE\C-01副本.jpg","656998","987","494","067ed1cee6300800"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\E-01副本.jpg","2013-taipei\JPE\E-01副本.jpg","1018158","1181","936","c1da1ecefcc1fe00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\E-02副本.jpg","2013-taipei\JPE\E-02副本.jpg","961174","1181","788","e0f09098cccc6662"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\F-01副本.jpg","2013-taipei\JPE\F-01副本.jpg","882052","1209","827","30303273d0c88cc6"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\J-01副本.jpg","2013-taipei\JPE\J-01副本.jpg","221373","1181","836","70f25e4666c6fc00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\K-01副本.jpg","2013-taipei\JPE\K-01副本.jpg","941072","1181","1720","fedc4c53d6c5fe00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\L-01副本.jpg","2013-taipei\JPE\L-01副本.jpg","1026363","1181","876","cc4d554d4d4d7f00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\LB-12001.jpg","2013-taipei\JPE\LB-12001.jpg","849064","1181","960","3874e66e6666f600"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\LB-12001C.jpg","2013-taipei\JPE\LB-12001C.jpg","553594","1181","1181","38eccc54dcccccfe"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\LB-13001L.jpg","2013-taipei\JPE\LB-13001L.jpg","886366","1181","777","4ecee66e6eeefe00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\LB-13001S.jpg","2013-taipei\JPE\LB-13001S.jpg","1055385","1181","954","eee6664e4fcbee00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\LB-13002L.jpg","2013-taipei\JPE\LB-13002L.jpg","1026363","1181","876","cc4d554d4d4d7f00"
"C:\Users\HQ-240319\company-site\product-images\2013-taipei\JPE\LB-13002S.jpg","2013-taipei\JPE\LB-13002S.jpg","1116500","1181","959","ee4a5a4f4f4f7a00"
